Era 1
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -58.43
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -62.48
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -52.91
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -53.26
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -60.84
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -59.61
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -59.50
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -64.94
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -58.84
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -56.29
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -59.56
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -58.28
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -58.78
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -57.63
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -59.72
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -58.19
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -60.46
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -58.77
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -58.72
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -59.81
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -63.08
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -57.01
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -70.30
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -59.36
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -51.80
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -59.72
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -57.76
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -55.48
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -57.71
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -54.80
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -58.01
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -57.58
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -58.43
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -61.01
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -59.58
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -54.43
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -65.01
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -59.23
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -58.94
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -58.06
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -52.49
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -59.03
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -54.09
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -87.29
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -81.95
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -50.16
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -57.84
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -58.09
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -60.73
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -82.10
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -59.32
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -59.12
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -61.44
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -60.65
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -60.73
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -79.35
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -79.74
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -70.66
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -57.53
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -52.67
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -54.13
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -84.31
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -59.47
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -58.56
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -60.24
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -60.05
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -60.31
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -60.17
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -57.73
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -60.47
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -59.22
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -57.99
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -58.18
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -54.23
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -58.69
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -71.38
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -61.78
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -71.21
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -55.43
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -54.29
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -80.65
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -55.19
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -55.89
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -60.28
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -61.64
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -55.87
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -62.89
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -61.09
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -53.94
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -50.99
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -59.02
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -57.53
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -60.27
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -61.82
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -56.73
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -74.88
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -66.92
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -62.54
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -55.12
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -64.97
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -51.23
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -62.48
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -52.91
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -53.26
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -60.84
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -59.61
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -59.50
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -64.94
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -58.84
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -56.29
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -59.56
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -58.28
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -58.78
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -57.63
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -59.72
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -58.19
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -60.46
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -58.77
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -58.72
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -59.81
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -63.08
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -57.01
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -70.30
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -59.36
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -51.80
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -59.72
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -57.76
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -55.48
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -57.71
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -54.80
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -58.01
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -57.58




Era 2
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -58.39
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -57.32
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -61.02
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -56.41
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -67.13
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -66.98
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -56.83
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -56.26
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -59.20
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -58.73
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -53.96
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -55.33
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -57.46
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -56.19
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -58.37
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -61.73
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -56.36
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -56.72
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -58.90
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -53.39
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -58.62
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -58.08
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -54.69
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -58.55
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -83.16
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -58.99
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -89.61
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -56.98
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -56.55
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -55.89
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -57.48
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -74.07
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -55.92
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -58.93
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -58.09
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -218.83
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -57.82
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -57.66
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -58.51
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -55.95
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -57.60
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -59.96
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -58.14
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -57.04
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -59.60
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -68.34
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -57.80
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -59.23
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -116.98
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -55.78
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -66.54
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -58.61
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -56.43
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -57.74
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -57.38
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -52.74
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -56.33
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -66.57
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -53.26
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -60.45
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -58.94
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -54.81
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -57.16
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -430.64
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -56.52
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -55.21
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -56.29
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -53.38
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -55.52
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -57.28
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -54.03
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -58.04
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -55.74
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -54.28
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -56.48
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -67.10
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -57.54
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -57.25
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -54.40
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -57.93
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -75.15
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -57.51
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -62.77
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -57.67
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -62.64
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -55.62
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -67.44
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -67.29
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -57.09
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -55.99
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -57.25
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -55.28
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -56.58
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -55.38
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -57.32
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -58.50
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -66.01
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -62.98
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -56.45
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -53.85
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -58.39
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -57.32
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -61.02
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -56.41
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -67.13
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -66.98
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -56.83
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -56.26
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -59.20
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -58.73
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -53.96
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -55.33
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -57.46
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -56.19
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -58.37
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -61.73
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -56.36
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -56.72
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -58.90
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -53.39
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -58.62
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -58.08
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -54.69
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -58.55
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -83.16
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -58.99
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -89.61
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -56.98
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -56.55
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -55.89
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -57.48
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -74.07
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -55.92
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -58.93
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -58.09
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -218.83
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -57.82
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -57.66
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -58.51
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -55.95
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -57.60
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -59.96
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -58.14
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -57.04
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -59.60
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -68.34
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -57.80
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -59.23
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -116.98
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -55.78
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -66.54
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -58.61
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -56.43
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -57.74
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -57.38
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -52.74
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -56.33
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -66.57
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -53.26
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -60.45
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -58.94
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -54.81
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -57.16
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -430.64
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -56.52
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -55.21
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -56.29
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -53.38
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -55.52
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -57.28
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -54.03
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -58.04
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -55.74
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -54.28
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -56.48
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -67.10
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -57.54
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -57.25
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -54.40
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -57.93
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -75.15
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -57.51
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -62.77
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -57.67
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -62.64
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -55.62
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -67.44
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -67.29
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -57.09
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -55.99
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -57.25
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -55.28
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -56.58
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -55.38
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -57.32
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -58.50
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -66.01
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -62.98
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -56.45
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -53.85




Era 3
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -55.93
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -57.11
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -58.37
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -67.44
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -59.03
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -58.51
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -65.44
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -58.40
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -99.15
